field,G;intensity,a.u.;I, A
3296.37;2057;1
3296.47;2059;1
3296.57;2064;1
3296.67;2073;1
3296.77;2074;1
3296.87;2071;1
3296.97;2067;1
3297.07;2064;1
3297.17;2064;1
3297.27;2062;1
3297.37;2058;1
3297.47;2056;1
3297.57;2058;1
3297.67;2058;1
3297.77;2059;1
3297.87;2059;1
3297.97;2059;1
3298.07;2061;1
3298.17;2056;1
3298.27;2058;1
3298.37;2051;1
3298.47;2058;1
3298.57;2059;1
3298.67;2054;1
3298.77;2051;1
3298.87;2049;1
3298.97;2052;1
3299.08;2053;1
3299.18;2050;1
3299.28;2050;1
3299.38;2051;1
3299.48;2049;1
3299.58;2052;1
3299.68;2057;1
3299.78;2058;1
3299.88;2058;1
3299.98;2059;1
3300.08;2059;1
3300.18;2059;1
3300.28;2061;1
3300.38;2058;1
3300.48;2058;1
3300.58;2058;1
3300.68;2059;1
3300.78;2059;1
3300.88;2061;1
3300.98;2062;1
3301.08;2061;1
3301.18;2060;1
3301.28;2060;1
3301.38;2063;1
3301.48;2059;1
3301.58;2057;1
3301.68;2055;1
3301.78;2050;1
3301.88;2055;1
3301.98;2050;1
3302.08;2056;1
3302.18;2055;1
3302.28;2053;1
3302.38;2055;1
3302.48;2055;1
3302.58;2056;1
3302.68;2058;1
3302.78;2059;1
3302.88;2058;1
3302.98;2059;1
3303.08;2059;1
3303.18;2057;1
3303.28;2059;1
3303.38;2061;1
3303.48;2059;1
3303.58;2056;1
3303.68;2052;1
3303.78;2050;1
3303.88;2050;1
3303.98;2048;1
3304.08;2047;1
3268.14;2033;1.25
3268.24;2032;1.25
3268.34;2033;1.25
3268.44;2036;1.25
3268.54;2039;1.25
3268.64;2039;1.25
3268.74;2042;1.25
3268.84;2042;1.25
3268.94;2039;1.25
3269.04;2035;1.25
3269.14;2031;1.25
3269.24;2023;1.25
3269.34;2019;1.25
3269.44;2018;1.25
3269.54;2016;1.25
3269.64;2017;1.25
3269.74;2018;1.25
3269.84;2019;1.25
3269.94;2018;1.25
3270.04;2019;1.25
3270.14;2020;1.25
3270.24;2020;1.25
3270.34;2018;1.25
3270.44;2023;1.25
3270.54;2023;1.25
3270.64;2022;1.25
3270.74;2018;1.25
3270.84;2015;1.25
3270.94;2012;1.25
3271.04;2012;1.25
3271.14;2010;1.25
3271.24;2007;1.25
3271.34;2004;1.25
3271.44;2004;1.25
3271.54;2002;1.25
3271.64;1998;1.25
3271.74;1997;1.25
3271.84;1997;1.25
3271.94;2002;1.25
3272.04;2009;1.25
3272.14;2012;1.25
3272.24;2012;1.25
3272.34;2011;1.25
3272.44;2009;1.25
3272.54;2006;1.25
3272.64;2005;1.25
3272.74;2008;1.25
3272.84;2010;1.25
3272.94;2011;1.25
3273.04;2011;1.25
3273.14;2006;1.25
3273.24;2004;1.25
3273.34;2004;1.25
3273.44;2003;1.25
3273.54;2002;1.25
3273.64;2002;1.25
3273.74;2002;1.25
3273.84;2000;1.25
3273.94;1999;1.25
3274.04;2002;1.25
3274.14;2003;1.25
3274.24;2001;1.25
3274.34;1998;1.25
3274.44;1998;1.25
3274.54;1996;1.25
3274.64;1995;1.25
3274.74;1995;1.25
3274.84;1996;1.25
3274.94;1995;1.25
3275.05;1992;1.25
3275.15;1992;1.25
3275.25;1995;1.25
3275.35;1998;1.25
3275.45;2003;1.25
3275.55;2006;1.25
3275.65;2011;1.25
3275.75;2011;1.25
3275.85;2011;1.25
3275.95;2015;1.25
3276.05;2018;1.25
3276.15;2013;1.25
3276.25;2007;1.25
3276.35;2005;1.25
3276.45;2000;1.25
3276.55;1993;1.25
3276.65;1989;1.25
3276.75;1986;1.25
3276.85;1985;1.25
3276.95;1984;1.25
3277.05;1985;1.25
3277.15;1985;1.25
3277.25;1985;1.25
3277.35;1981;1.25
3277.45;1977;1.25
3277.55;1973;1.25
3277.65;1972;1.25
3277.75;1970;1.25
3277.85;1966;1.25
3277.95;1966;1.25
3278.05;1968;1.25
3278.15;1972;1.25
3278.25;1973;1.25
3278.35;1973;1.25
3278.45;1973;1.25
3278.55;1975;1.25
3278.65;1975;1.25
3278.75;1970;1.25
3278.85;1963;1.25
3278.95;1963;1.25
3279.05;1955;1.25
3279.15;1951;1.25
3279.25;1950;1.25
3279.35;1948;1.25
3279.45;1942;1.25
3279.55;1937;1.25
3279.65;1930;1.25
3279.75;1921;1.25
3279.85;1912;1.25
3279.95;1903;1.25
3280.05;1895;1.25
3280.15;1892;1.25
3280.25;1886;1.25
3280.35;1879;1.25
3280.45;1869;1.25
3280.55;1860;1.25
3280.65;1852;1.25
3280.75;1841;1.25
3280.85;1834;1.25
3280.95;1828;1.25
3281.05;1819;1.25
3281.15;1809;1.25
3281.25;1799;1.25
